hosp,cases,lineDays,sir,ciLow,ciHigh,area
"EL CAMINO HOSP, LOS GATOS",0,5,,,,"general labor, delivery, recovery, and post- partum care"
"EL CAMINO HOSP, MOUNTAIN VIEW",0,21,,,,"general labor, delivery, recovery, and post- partum care"
"FOOTHILL PRESBYTERIAN HSP-JOHNSTON MEMORIAL, GLENDORA",0,69,0.00,0.00,43.42,"general labor, delivery, recovery, and post- partum care"
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,0,19,,,,"general labor, delivery, recovery, and post- partum care"
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,"general labor, delivery, recovery, and post- partum care"
GLENDALE ADVENTIST MED CTR,0,31,,,,"general labor, delivery, recovery, and post- partum care"
"GOOD SAMARITAN HOSP, LP",0,51,0.00,0.00,58.74,"general labor, delivery, recovery, and post- partum care"
"MISSION OAKS HOSP, LOS GATOS",,,,,,"general labor, delivery, recovery, and post- partum care"
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,"general labor, delivery, recovery, and post- partum care"
"GROSSMONT HOSP, LA MESA",0,1,,,,"general labor, delivery, recovery, and post- partum care"
"HUNTINGTON MEMORIAL HOSP, PASADENA",0,10,,,,"general labor, delivery, recovery, and post- partum care"
"JOHN MUIR MED CTR, WALNUT CREEK",0,22,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",0,25,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, FRESNO",0,7,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, LOS ANGELES",0,44,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, REDWOOD CITY",0,11,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, SAN FRANCISCO",0,1,,,,"general labor, delivery, recovery, and post- partum care"
KAISER FOUNDATION HOSP-SANTA CLARA,0,22,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, SANTA ROSA",0,4,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP SOUTH BAY, HARBOR CITY",0,37,,,,"general labor, delivery, recovery, and post- partum care"
KAISER FOUNDATION HOSP-SOUTH SACRAMENTO,0,5,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP & REHAB. CTR, VALLEJO",0,2,,,,"general labor, delivery, recovery, and post- partum care"
KAISER FOUNDATION HOSP-WALNUT CREEK,0,12,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, WOODLAND HILLS",0,36,,,,"general labor, delivery, recovery, and post- partum care"
KAISER FOUNDATION HOSPS,,,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, FONTANA",0,3,,,,"general labor, delivery, recovery, and post- partum care"
KAISER FOUNDATION HOSPS,0,4,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, MODESTO",,,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, MANTECA",,,,,,"general labor, delivery, recovery, and post- partum care"
KAISER FOUNDATION HOSPS,0,1,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,"general labor, delivery, recovery, and post- partum care"
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,"general labor, delivery, recovery, and post- partum care"
"KERN MED CTR, BAKERSFIELD",0,37,,,,"general labor, delivery, recovery, and post- partum care"
"LAC+USC MED CTR, LOS ANGELES",1,327,3.06,0.08,17.04,"general labor, delivery, recovery, and post- partum care"
LOMA LINDA UNIVERSITY MED CTR,0,148,0.00,0.00,20.24,"general labor, delivery, recovery, and post- partum care"
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,"general labor, delivery, recovery, and post- partum care"
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,"general labor, delivery, recovery, and post- partum care"
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,"general labor, delivery, recovery, and post- partum care"
"LOS ANGELES CO OLIVE VIEW-UCLA MED CTR, SYLMAR",0,4,,,,"general labor, delivery, recovery, and post- partum care"
LOS ROBLES REGIONAL MED CTR,0,3,,,,"general labor, delivery, recovery, and post- partum care"
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,"general labor, delivery, recovery, and post- partum care"
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,"general labor, delivery, recovery, and post- partum care"
THOUSAND OAKS SURGICAL HOSPITAL,,,,,,"general labor, delivery, recovery, and post- partum care"
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",0,186,0.00,0.00,16.11,"general labor, delivery, recovery, and post- partum care"
MARIAN REGIONAL MEDICAL CENTER,,,,,,"general labor, delivery, recovery, and post- partum care"
MARIAN REGIONAL MEDICAL CENTER,0,14,,,,"general labor, delivery, recovery, and post- partum care"
"MARIN GENERAL HOSP, GREENBRAE",0,55,0.00,0.00,54.47,"general labor, delivery, recovery, and post- partum care"
"MARSHALL MED CTR 1-RH, PLACERVILLE",0,1,,,,"general labor, delivery, recovery, and post- partum care"
"MEMORIAL MED CTR, MODESTO",0,4,,,,"general labor, delivery, recovery, and post- partum care"
"MERCY GENERAL HOSP, SACRAMENTO",0,6,,,,"general labor, delivery, recovery, and post- partum care"
MERCY HOSP OF FOLSOM,0,4,,,,"general labor, delivery, recovery, and post- partum care"
MERCY MED CTR REDDING,0,7,,,,"general labor, delivery, recovery, and post- partum care"
"MERCY SAN JUAN MED CTR, CARMICHAEL",0,1,,,,"general labor, delivery, recovery, and post- partum care"
MILLS-PENINSULA HEALTH SERVICES,0,11,,,,"general labor, delivery, recovery, and post- partum care"
"MILLS HEALTH CTR, SAN MATEO",,,,,,"general labor, delivery, recovery, and post- partum care"
"MILLS-PENINSULA MED CTR, BURLINGAME",,,,,,"general labor, delivery, recovery, and post- partum care"
NORTHBAY HEALTHCARE GROUP,,,,,,"general labor, delivery, recovery, and post- partum care"
"NORTHBAY MED CTR, FAIRFIELD",0,2,,,,"general labor, delivery, recovery, and post- partum care"
PACIFIC ALLIANCE MED CTR,0,7,,,,"general labor, delivery, recovery, and post- partum care"
PALOMAR HEALTH,0,3,,,,"general labor, delivery, recovery, and post- partum care"
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",,,,,,"general labor, delivery, recovery, and post- partum care"
"PALOMAR MED CTR, ESCONDIDO",,,,,,"general labor, delivery, recovery, and post- partum care"
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",0,11,,,,"general labor, delivery, recovery, and post- partum care"
"POMONA VALLEY HOSP MED CTR, POMONA",0,43,,,,"general labor, delivery, recovery, and post- partum care"
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",0,10,,,,"general labor, delivery, recovery, and post- partum care"
"PROVIDENCE TARZANA MED CTR, TARZANA",0,1,,,,"general labor, delivery, recovery, and post- partum care"
"QUEEN OF THE VALLEY MED CTR, NAPA",0,37,,,,"general labor, delivery, recovery, and post- partum care"
REDLANDS COMMUNITY HOSP,0,6,,,,"general labor, delivery, recovery, and post- partum care"
REGIONAL MED CTR OF SAN JOSE,0,3,,,,"general labor, delivery, recovery, and post- partum care"
RIVERSIDE COMMUNITY HOSP,0,5,,,,"general labor, delivery, recovery, and post- partum care"
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",0,26,,,,"general labor, delivery, recovery, and post- partum care"
"SAINT AGNES MED CTR, FRESNO",0,11,,,,"general labor, delivery, recovery, and post- partum care"
SALINAS VALLEY MEMORIAL HOSP,0,71,0.00,0.00,42.19,"general labor, delivery, recovery, and post- partum care"
SAN FRANCISCO GENERAL HOSP,0,5,,,,"general labor, delivery, recovery, and post- partum care"
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",0,17,,,,"general labor, delivery, recovery, and post- partum care"
"SAN JOAQUIN GENERAL HOSP, FRENCH P",0,17,,,,"general labor, delivery, recovery, and post- partum care"
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",0,10,,,,"general labor, delivery, recovery, and post- partum care"
SANTA ROSA MEMORIAL HOSP,0,3,,,,"general labor, delivery, recovery, and post- partum care"
"SCRIPPS MEMORIAL HOSP, ENCINITAS",0,21,,,,"general labor, delivery, recovery, and post- partum care"
"SCRIPPS MEMORIAL HOSP, LA JOLLA",0,5,,,,"general labor, delivery, recovery, and post- partum care"
"SEQUOIA HOSP, REDWOOD CITY",0,1,,,,"general labor, delivery, recovery, and post- partum care"
SETON MED CTR,0,5,,,,"general labor, delivery, recovery, and post- partum care"
"SETON MED CTR-COASTSIDE, MOSS BEACH",,,,,,"general labor, delivery, recovery, and post- partum care"
"SETON MED CTR, DALY CITY",,,,,,"general labor, delivery, recovery, and post- partum care"
SHARP CHULA VISTA MED CTR,0,3,,,,"general labor, delivery, recovery, and post- partum care"
"SHARP MARY BIRCH FOR WOMEN & NEWBORNS, SAN DIEGO",0,616,0.00,0.00,4.86,"general labor, delivery, recovery, and post- partum care"
"SIERRA VIEW DISTRICT HOSP, PORTERVILLE",0,6,,,,"general labor, delivery, recovery, and post- partum care"
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",0,8,,,,"general labor, delivery, recovery, and post- partum care"
SIMI VALLEY HOSP & HEALTH CARE SERVICES,0,20,,,,"general labor, delivery, recovery, and post- partum care"
SONORA REGIONAL MED CTR,0,1,,,,"general labor, delivery, recovery, and post- partum care"
SONORA REGIONAL MED CTR CAMPUS #1,,,,,,"general labor, delivery, recovery, and post- partum care"
SONORA REGIONAL MED CTR CAMPUS #2,,,,,,"general labor, delivery, recovery, and post- partum care"
"ST HELENA HOSP, CLEARLAKE",0,8,,,,"general labor, delivery, recovery, and post- partum care"
"ST HELENA HOSP, ST HELENA",0,2,,,,"general labor, delivery, recovery, and post- partum care"
"ST JOHN'S REGIONAL MED CTR, OXNARD",0,6,,,,"general labor, delivery, recovery, and post- partum care"
"ST JOSEPH HOSP, ORANGE",0,1,,,,"general labor, delivery, recovery, and post- partum care"
SUTTER EAST BAY HOSPS CTR,0,68,0,0.00,44.05,"general labor, delivery, recovery, and post- partum care"
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",,,,,,"general labor, delivery, recovery, and post- partum care"
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",,,,,,"general labor, delivery, recovery, and post- partum care"
SUTTER HEALTH SACRAMENTO SIERRA REGION,0,1,,,,"general labor, delivery, recovery, and post- partum care"
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,"general labor, delivery, recovery, and post- partum care"
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,"general labor, delivery, recovery, and post- partum care"
SUTTER MED CTR OF SANTA ROSA,0,3,,,,"general labor, delivery, recovery, and post- partum care"
SUTTER ROSEVILLE MED CTR,0,14,,,,"general labor, delivery, recovery, and post- partum care"
"TORRANCE MEMORIAL MED CTR, TORRANCE",0,2,,,,"general labor, delivery, recovery, and post- partum care"
"TRI-CITY MED CTR, OCEANSIDE",0,30,,,,"general labor, delivery, recovery, and post- partum care"
TULARE REGIONAL MEDICAL CTR,0,6,,,,"general labor, delivery, recovery, and post- partum care"
"UHS-CORONA, INC.",0,36,,,,"general labor, delivery, recovery, and post- partum care"
"CORONA REGIONAL MED CTR, CAMPUS #1",,,,,,"general labor, delivery, recovery, and post- partum care"
"CORONA REGIONAL MED CTR, CAMPUS #2",,,,,,"general labor, delivery, recovery, and post- partum care"
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",0,352,0,0.00,8.51,"general labor, delivery, recovery, and post- partum care"
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",1,64,15.63,0.40,87.06,"general labor, delivery, recovery, and post- partum care"
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",0,47,,,,"general labor, delivery, recovery, and post- partum care"
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,"general labor, delivery, recovery, and post- partum care"
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,"general labor, delivery, recovery, and post- partum care"
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1,122,8.2,0.21,45.67,"general labor, delivery, recovery, and post- partum care"
"UCSF MED CTR, SAN FRANCISCO",,,,,,"general labor, delivery, recovery, and post- partum care"
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,"general labor, delivery, recovery, and post- partum care"
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",0,109,0,0.00,27.48,"general labor, delivery, recovery, and post- partum care"
"VERDUGO HILLS HOSP, GLENDALE",0,1,,,,"general labor, delivery, recovery, and post- partum care"
"WASHINGTON HOSP, FREMONT",0,5,,,,"general labor, delivery, recovery, and post- partum care"
"WHITE MEMORIAL MED CTR, LOS ANGELES",0,2,,,,"general labor, delivery, recovery, and post- partum care"
STATE OF CALIFORNIA POOLED DATA,2,1391,1.44,,,general adult behavioral health/psychiatric care
"CEDARS-SINAI MED CTR, LOS ANGELES",0,5,,,,general adult behavioral health/psychiatric care
COLLEGE HOSP COSTA MESA,0,91,0.00,0.00,32.92,general adult behavioral health/psychiatric care
"ENCINO HOSP MED CTR, ENCINO",0,17,,,,general adult behavioral health/psychiatric care
GLENDALE ADVENTIST MED CTR,0,20,,,,general adult behavioral health/psychiatric care
"GROSSMONT HOSP, LA MESA",0,61,0.00,0.00,49.11,general adult behavioral health/psychiatric care
HUNTINGTON BEACH HOSP,0,4,,,,general adult behavioral health/psychiatric care
"HUNTINGTON MEMORIAL HOSP, PASADENA",0,19,,,,general adult behavioral health/psychiatric care
"JOHN D KLARICH MEMORIAL HOSP, CSP-CORCORAN",0,13,,,,general adult behavioral health/psychiatric care
"LAC+USC MED CTR, LOS ANGELES",0,28,,,,general adult behavioral health/psychiatric care
LOS ALAMITOS MED CTR,1,214,4.67,0.12,26.04,general adult behavioral health/psychiatric care
LOS ANGELES METROPOLITAN MED CTR,0,279,0.00,0.00,10.74,general adult behavioral health/psychiatric care
SANTA BARBARA COTTAGE HOSPITAL,0,1,,,,general adult behavioral health/psychiatric care
SANTA BARBARA COTTAGE HOSP,,,,,,general adult behavioral health/psychiatric care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,general adult behavioral health/psychiatric care
"STANFORD HOSP, STANFORD",0,274,0.00,0.00,10.93,general adult behavioral health/psychiatric care
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",1,167,5.99,0.15,33.36,general adult behavioral health/psychiatric care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",0,58,0.00,0.00,51.65,general adult behavioral health/psychiatric care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,general adult behavioral health/psychiatric care
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,general adult behavioral health/psychiatric care
"VERDUGO HILLS HOSP, GLENDALE",0,2,,,,general adult behavioral health/psychiatric care
"WEST ANAHEIM MED CTR, ANAHEIM",0,133,0.0,0.00,22.52,general adult behavioral health/psychiatric care
WESTERN MED CTR ANAHEIM,0,5,,,,general adult behavioral health/psychiatric care
STATE OF CALIFORNIA POOLED DATA,12,6093,1.97,,,
"ALVARADO HOSP, LLC",0,318,0.00,0.00,9.42,
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",,,,,,
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",,,,,,
DELANO REGIONAL MED CTR,1,417,2.40,0.06,13.36,
DIGNITY HEALTH,3,1817,1.65,0.34,4.83,
"MERCY HOSP, BAKERSFIELD",,,,,,
"MERCY SOUTHWEST HOSP, BAKERSFIELD",,,,,,
"DOCTORS MED CTR, SAN PABLO",1,25,,,,
"LAC+USC MED CTR, LOS ANGELES",2,681,2.94,0.36,10.61,
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",0,462,0.00,0.00,6.48,
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",3,951,3.15,0.65,9.22,
"TRI-CITY MED CTR, OCEANSIDE",1,894,1.12,0.03,6.23,
"TWIN CITIES COMMUNITY HOSP, TEMPLETON",0,243,0.00,0.00,12.33,
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",1,135,7.41,0.19,41.27,
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,
WESTERN MED CTR ANAHEIM,0,150,0.00,0.00,19.97,
STATE OF CALIFORNIA POOLED DATA,73,89275,0.82,,,general pediatric care
"ARROWHEAD RGN MED CTR, COLTON",0,33,,,,general pediatric care
BAKERSFIELD MEMORIAL HOSP,0,137,0.00,0.00,21.87,general pediatric care
"CEDARS-SINAI MED CTR, LOS ANGELES",0,466,0.00,0.00,6.43,general pediatric care
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,4,6103,0.66,0.18,1.68,general pediatric care
"CHILDREN'S HOSP AT MISSION, MISSION VIEJO",1,235,4.26,0.11,23.71,general pediatric care
"CHILDREN'S HOSP CENTRAL CA, MADERA",11,10107,1.09,0.54,1.95,general pediatric care
CHILDRENS HOSP OF LOS ANGELES,11,16653,0.66,0.33,1.18,general pediatric care
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",2,3803,0.53,0.06,1.90,general pediatric care
"COMMUNITY REGIONAL MED CTR, FRESNO",0,99,0.00,0.00,30.26,general pediatric care
"CONTRA COSTA REGIONAL MED CTR, MARTINEZ",0,4,,,,general pediatric care
COUNTY OF VENTURA,0,167,0.00,0.00,17.94,general pediatric care
VENTURA COUNTY MED CTR,,,,,,general pediatric care
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,general pediatric care
DIGNITY HEALTH,0,74,0.00,0.00,40.48,general pediatric care
"MERCY HOSP, BAKERSFIELD",,,,,,general pediatric care
"MERCY SOUTHWEST HOSP, BAKERSFIELD",,,,,,general pediatric care
"DOCTORS MED CTR, MODESTO",0,11,,,,general pediatric care
"EARL & LORAINE MILLER CHILDREN'S HOSP, LONG BEACH",2,2947,0.68,0.08,2.45,general pediatric care
"EMANUEL MED CTR INC, TURLOCK",0,5,,,,general pediatric care
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,0,113,0.00,0.00,26.51,general pediatric care
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,general pediatric care
"GARFIELD MED CTR, MONTEREY PARK",0,21,,,,general pediatric care
"GOOD SAMARITAN HOSP, LP",0,159,0.00,0.00,18.84,general pediatric care
"MISSION OAKS HOSP, LOS GATOS",,,,,,general pediatric care
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,general pediatric care
"HEALTHBRIDGE CHILDREN'S HOSP, ORANGE",0,75,0.00,0.00,39.94,general pediatric care
"JOHN MUIR MED CTR, WALNUT CREEK",0,116,0.00,0.00,25.83,general pediatric care
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",0,65,0.00,0.00,46.09,general pediatric care
"KAISER FOUNDATION HOSP, LOS ANGELES",3,2862,1.05,0.22,3.06,general pediatric care
"KAISER FOUNDATION HOSP, ROSEVILLE",2,1369,1.46,0.18,5.28,general pediatric care
"KAISER FOUNDATION HOSP, SAN DIEGO",0,797,0.00,0.00,3.76,general pediatric care
"KAISER FOUNDATION HOSP, SAN FRANCISCO",0,112,0.00,0.00,26.75,general pediatric care
KAISER FOUNDATION HOSP-SANTA CLARA,0,996,0.00,0.00,3.01,general pediatric care
"KAISER FOUNDATION HOSP, SANTA ROSA",0,4,,,,general pediatric care
KAISER FOUNDATION HOSP-WALNUT CREEK,0,15,,,,general pediatric care
KAISER FOUNDATION HOSPS,0,371,0.00,0.00,8.07,general pediatric care
KAISER FOUNDATION HOSP-ANAHEIM MEDICAL CENTER,,,,,,general pediatric care
KAISER FOUNDATION HOSP-LAKEVIEW MEDICAL CENTER,,,,,,general pediatric care
KAISER FOUNDATION HOSPS,,,,,,general pediatric care
"KAISER FOUNDATION HOSP, FONTANA",0,126,0.00,0.00,23.78,general pediatric care
KAISER FOUNDATION HOSPS,0,21,,,,general pediatric care
"KAISER FOUNDATION HOSP, FREMONT",,,,,,general pediatric care
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",,,,,,general pediatric care
KAISER FOUNDATION HOSPS,2,1962,1.02,0.12,3.68,general pediatric care
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,general pediatric care
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,general pediatric care
"KAWEAH DELTA MED CTR, VISALIA",0,3,,,,general pediatric care
"KERN MED CTR, BAKERSFIELD",0,29,,,,general pediatric care
"LAC+USC MED CTR, LOS ANGELES",1,366,2.73,0.07,15.22,general pediatric care
"LODI MEMORIAL HOSP ASSOCIATION, INC.",0,1,,,,general pediatric care
LODI MEMORIAL HOSP 1RH,,,,,,general pediatric care
LODI MEMORIAL HOSP-WEST,,,,,,general pediatric care
LOMA LINDA UNIVERSITY MED CTR,9,7303,1.23,0.56,2.34,general pediatric care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,general pediatric care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,general pediatric care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,general pediatric care
"LOS ANGELES CO OLIVE VIEW-UCLA MED CTR, SYLMAR",0,17,,,,general pediatric care
LOS ROBLES REGIONAL MED CTR,0,13,,,,general pediatric care
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,general pediatric care
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,general pediatric care
THOUSAND OAKS SURGICAL HOSPITAL,,,,,,general pediatric care
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",5,8664,0.58,0.19,1.35,general pediatric care
MARIAN REGIONAL MEDICAL CENTER,,,,,,general pediatric care
MARIAN REGIONAL MEDICAL CENTER,0,65,0.00,0.00,46.09,general pediatric care
"MEMORIAL MED CTR, MODESTO",0,467,0.00,0.00,6.41,general pediatric care
MERCY MED CTR REDDING,0,36,,,,general pediatric care
"MERCY SAN JUAN MED CTR, CARMICHAEL",0,88,0.00,0.00,34.04,general pediatric care
NORTHRIDGE HOSP MED CTR,0,213,0.00,0.00,14.06,general pediatric care
"O'CONNOR HOSP, SAN JOSE",0,2,,,,general pediatric care
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",0,21,,,,general pediatric care
"POMONA VALLEY HOSP MED CTR, POMONA",0,27,,,,general pediatric care
"PROVIDENCE HOLY CROSS MED CTR, MISSION HILLS",0,2,,,,general pediatric care
"PROVIDENCE TARZANA MED CTR, TARZANA",0,87,0.00,0.00,34.43,general pediatric care
"RADY CHILDREN'S HOSP, SAN DIEGO",2,5291,0.38,0.05,1.37,general pediatric care
REGIONAL MED CTR OF SAN JOSE,0,4,,,,general pediatric care
RIVERSIDE COMMUNITY HOSP,0,5,,,,general pediatric care
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",0,247,0.00,0.00,12.13,general pediatric care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",7,4779,1.46,0.59,3.02,general pediatric care
SALINAS VALLEY MEMORIAL HOSP,0,39,,,,general pediatric care
"SAN ANTONIO COMMUNITY HOSP, UPLAND",0,6,,,,general pediatric care
SANTA BARBARA COTTAGE HOSPITAL,1,968,1.03,0.03,5.76,general pediatric care
SANTA BARBARA COTTAGE HOSP,,,,,,general pediatric care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,general pediatric care
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",0,1044,0.00,0.00,2.87,general pediatric care
SANTA ROSA MEMORIAL HOSP,0,82,0.00,0.00,36.53,general pediatric care
"SHRINERS HOSPS FOR CHILDREN NORTH CA, SACRAMENTO",0,144,0.00,0.00,20.80,general pediatric care
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",0,9,,,,general pediatric care
SUTTER HEALTH SACRAMENTO SIERRA REGION,0,1632,0.00,0.00,1.84,general pediatric care
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,general pediatric care
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,general pediatric care
SUTTER ROSEVILLE MED CTR,0,3,,,,general pediatric care
SUTTER WEST BAY HOSPS,2,1030,1.94,0.24,7.01,general pediatric care
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",,,,,,general pediatric care
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",,,,,,general pediatric care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",2,2476,0.8,0.10,2.92,general pediatric care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",0,5,,,,general pediatric care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,general pediatric care
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,general pediatric care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",6,3944,1.5,0.56,3.31,general pediatric care
"UCSF MED CTR, SAN FRANCISCO",,,,,,general pediatric care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,general pediatric care
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",0,82,0.0,0.00,36.53,general pediatric care
"WHITE MEMORIAL MED CTR, LOS ANGELES",0,53,0.0,0.00,56.52,general pediatric care
STATE OF CALIFORNIA POOLED DATA,4,3298,1.21,,,general pediatric rehabilitation care
"CHILDREN'S HOSP CENTRAL CA, MADERA",4,1883,2.12,0.58,5.44,general pediatric rehabilitation care
CHILDRENS HOSP OF LOS ANGELES,0,1415,0.00,0.00,2.12,general pediatric rehabilitation care
STATE OF CALIFORNIA POOLED DATA,39,23100,1.69,,,bone marrow transplant care
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",18,9490,1.90,1.12,3.00,bone marrow transplant care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",2,1888,1.06,0.13,3.83,bone marrow transplant care
"SCRIPPS GREEN HOSP, LA JOLLA",0,70,0.00,0.00,42.80,bone marrow transplant care
"STANFORD HOSP, STANFORD",2,3094,0.65,0.08,2.34,bone marrow transplant care
SUTTER HEALTH SACRAMENTO SIERRA REGION,2,2958,0.68,0.08,2.44,bone marrow transplant care
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,bone marrow transplant care
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,bone marrow transplant care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",11,4475,2.46,1.23,4.40,bone marrow transplant care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",4,1125,3.56,0.97,9.10,bone marrow transplant care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,bone marrow transplant care
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,bone marrow transplant care
STATE OF CALIFORNIA POOLED DATA,10,7542,1.33,,,pediatric bone marrow transplant care
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,0,1229,0.00,0.00,2.44,pediatric bone marrow transplant care
CHILDRENS HOSP OF LOS ANGELES,5,3054,1.64,0.53,3.82,pediatric bone marrow transplant care
