hosp,cases,lineDays,rate,ciLow,ciHigh,adherence,area
DIGNITY HEALTH,0,1,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
DIGNITY HEALTH,1,237,4.22,0.11,23.51,100,critical care for neonates weighing between 751 and 1000 grams at birth
"MERCY HOSP, BAKERSFIELD",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"MERCY SOUTHWEST HOSP, BAKERSFIELD",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"DOCTORS MED CTR, MODESTO",0,370,0.00,0.00,8.10,90.2,critical care for neonates weighing between 751 and 1000 grams at birth
DOWNEY REGIONAL MED CTR,0,28,,,97.4,,critical care for neonates weighing between 751 and 1000 grams at birth
"EARL & LORAINE MILLER CHILDREN'S HOSP, LONG BEACH",1,1456,0.69,0.02,3.83,100,critical care for neonates weighing between 751 and 1000 grams at birth
EL CAMINO HOSP,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"EL CAMINO HOSP, LOS GATOS",0,1,,,ND,,critical care for neonates weighing between 751 and 1000 grams at birth
"EL CAMINO HOSP, MOUNTAIN VIEW",1,108,9.26,0.23,51.59,97.6,critical care for neonates weighing between 751 and 1000 grams at birth
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,1,194,5.15,0.13,28.72,90.9,critical care for neonates weighing between 751 and 1000 grams at birth
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"GARFIELD MED CTR, MONTEREY PARK",0,172,0.00,0.00,17.42,57.1,critical care for neonates weighing between 751 and 1000 grams at birth
GLENDALE ADVENTIST MED CTR,0,188,0.00,0.00,15.93,98.6,critical care for neonates weighing between 751 and 1000 grams at birth
GLENDALE MEMORIAL HOSP AND HEALTH CTR,0,50,0.00,0.00,59.91,100,critical care for neonates weighing between 751 and 1000 grams at birth
"GOOD SAMARITAN HOSP, LOS ANGELES",2,544,3.68,0.45,13.28,100,critical care for neonates weighing between 751 and 1000 grams at birth
"GOOD SAMARITAN HOSP, LP",1,528,1.89,0.05,10.55,100,critical care for neonates weighing between 751 and 1000 grams at birth
"MISSION OAKS HOSP, LOS GATOS",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"GROSSMONT HOSP, LA MESA",0,10,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",0,92,0.00,0.00,32.56,98.8,critical care for neonates weighing between 751 and 1000 grams at birth
"HOAG HOSPITAL, IRVINE",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",0,243,0.00,0.00,12.33,97.5,critical care for neonates weighing between 751 and 1000 grams at birth
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,0,2,,,90.0,,critical care for neonates weighing between 751 and 1000 grams at birth
"VALLEYCARE MEDICAL CENTER, PLEASANTON",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"HUNTINGTON MEMORIAL HOSP, PASADENA",0,319,0.00,0.00,9.39,92.4,critical care for neonates weighing between 751 and 1000 grams at birth
"JOHN MUIR MED CTR, WALNUT CREEK",0,132,0.00,0.00,22.69,95.9,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, BALDWIN PARK",0,5,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",0,572,0.00,0.00,5.24,94.5,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, LOS ANGELES",1,255,3.92,0.10,21.85,91.8,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, PANORAMA CITY",0,118,0.00,0.00,25.39,100,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, RIVERSIDE",0,30,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, ROSEVILLE",0,270,0.00,0.00,11.10,74.6,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, SAN DIEGO",0,271,0.00,0.00,11.05,98.8,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, SAN FRANCISCO",0,432,0.00,0.00,6.93,100,critical care for neonates weighing between 751 and 1000 grams at birth
KAISER FOUNDATION HOSP-SANTA CLARA,0,265,0.00,0.00,11.30,98.5,critical care for neonates weighing between 751 and 1000 grams at birth
KAISER FOUNDATION HOSP-WALNUT CREEK,0,177,0.00,0.00,16.93,86.1,critical care for neonates weighing between 751 and 1000 grams at birth
KAISER FOUNDATION HOSPS,0,127,0.00,0.00,23.59,75.0,critical care for neonates weighing between 751 and 1000 grams at birth
KAISER FOUNDATION HOSP-ANAHEIM MEDICAL CENTER,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
KAISER FOUNDATION HOSP-LAKEVIEW MEDICAL CENTER,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
KAISER FOUNDATION HOSPS,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, IRVINE",0,3,,,80.0,,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, FONTANA",0,460,0.00,0.00,6.51,89.7,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, ONTARIO",0,1,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
KAISER FOUNDATION HOSPS,0,216,0.00,0.00,13.87,82.6,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, FREMONT",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
KAISER FOUNDATION HOSPS,0,268,0.00,0.00,11.18,100,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"KERN MED CTR, BAKERSFIELD",0,219,0.00,0.00,13.68,96.5,critical care for neonates weighing between 751 and 1000 grams at birth
"LAC+USC MED CTR, LOS ANGELES",0,644,0.00,0.00,4.65,99.3,critical care for neonates weighing between 751 and 1000 grams at birth
"LAC/HARBOR-UCLA MED CTR, TORRANCE",1,656,1.52,0.04,8.49,90.6,critical care for neonates weighing between 751 and 1000 grams at birth
LOMA LINDA UNIVERSITY MED CTR,2,1372,1.46,0.18,5.27,78.8,critical care for neonates weighing between 751 and 1000 grams at birth
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"LOS ANGELES CO OLIVE VIEW-UCLA MED CTR, SYLMAR",0,45,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
LOS ROBLES REGIONAL MED CTR,0,83,0.00,0.00,36.09,100,critical care for neonates weighing between 751 and 1000 grams at birth
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",2,859,2.33,0.28,8.41,99.6,critical care for neonates weighing between 751 and 1000 grams at birth
MARIAN REGIONAL MEDICAL CENTER,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
MARIAN REGIONAL MEDICAL CENTER,0,61,0.00,0.00,49.11,100,critical care for neonates weighing between 751 and 1000 grams at birth
MERCY MED CTR REDDING,1,61,16.39,0.42,91.34,100,critical care for neonates weighing between 751 and 1000 grams at birth
"MERCY SAN JUAN MED CTR, CARMICHAEL",1,456,2.19,0.06,12.22,98.7,critical care for neonates weighing between 751 and 1000 grams at birth
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",0,18,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"NATIVIDAD MED CTR, SALINAS",0,11,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
NORTHBAY HEALTHCARE GROUP,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"NORTHBAY MED CTR, FAIRFIELD",0,8,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
NORTHRIDGE HOSP MED CTR,0,106,0.00,0.00,28.26,100,critical care for neonates weighing between 751 and 1000 grams at birth
"O'CONNOR HOSP, SAN JOSE",0,16,,,94.4,,critical care for neonates weighing between 751 and 1000 grams at birth
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",0,102,0.00,0.00,29.37,87.5,critical care for neonates weighing between 751 and 1000 grams at birth
"POMONA VALLEY HOSP MED CTR, POMONA",1,824,1.21,0.03,6.76,96.6,critical care for neonates weighing between 751 and 1000 grams at birth
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",0,137,0.00,0.00,21.87,100,critical care for neonates weighing between 751 and 1000 grams at birth
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, TORRANCE",0,120,0.00,0.00,24.96,100,critical care for neonates weighing between 751 and 1000 grams at birth
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",0,230,0.00,0.00,13.02,100,critical care for neonates weighing between 751 and 1000 grams at birth
"PROVIDENCE TARZANA MED CTR, TARZANA",0,225,0.00,0.00,13.31,100,critical care for neonates weighing between 751 and 1000 grams at birth
"RADY CHILDREN'S HOSP, SAN DIEGO",1,725,1.38,0.03,7.69,90.4,critical care for neonates weighing between 751 and 1000 grams at birth
REDLANDS COMMUNITY HOSP,0,176,0.00,0.00,17.02,94.6,critical care for neonates weighing between 751 and 1000 grams at birth
REGIONAL MED CTR OF SAN JOSE,0,1,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
RIVERSIDE COMMUNITY HOSP,0,46,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",0,286,0.00,0.00,10.47,100,critical care for neonates weighing between 751 and 1000 grams at birth
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",0,579,0.00,0.00,5.17,98.3,critical care for neonates weighing between 751 and 1000 grams at birth
SADDLEBACK MEMORIAL MED CTR,0,120,0.00,0.00,24.96,100,critical care for neonates weighing between 751 and 1000 grams at birth
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"SAINT FRANCIS MED CTR, LYNWOOD",0,209,0.00,0.00,14.33,100,critical care for neonates weighing between 751 and 1000 grams at birth
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",0,56,0.00,0.00,53.50,ND,critical care for neonates weighing between 751 and 1000 grams at birth
SALINAS VALLEY MEMORIAL HOSP,1,10,,,92.3,,critical care for neonates weighing between 751 and 1000 grams at birth
"SAN ANTONIO COMMUNITY HOSP, UPLAND",1,294,3.40,0.09,18.95,98.4,critical care for neonates weighing between 751 and 1000 grams at birth
SAN FRANCISCO GENERAL HOSP,0,60,0.00,0.00,49.93,ND,critical care for neonates weighing between 751 and 1000 grams at birth
"SAN GABRIEL VALLEY MED CTR, SAN GABRIEL",0,46,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",0,92,0.00,0.00,32.56,100,critical care for neonates weighing between 751 and 1000 grams at birth
"SAN JOAQUIN GENERAL HOSP, FRENCH P",0,44,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
SANTA BARBARA COTTAGE HOSPITAL,0,29,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
SANTA BARBARA COTTAGE HOSP,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"SANTA CLARA VALLEY MED CTR, SAN JOSE",0,280,0.00,0.00,10.70,97.6,critical care for neonates weighing between 751 and 1000 grams at birth
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",0,191,0.00,0.00,15.68,100,critical care for neonates weighing between 751 and 1000 grams at birth
SANTA ROSA MEMORIAL HOSP,0,5,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"SHARP MARY BIRCH FOR WOMEN & NEWBORNS, SAN DIEGO",0,1199,0.00,0.00,2.50,100,critical care for neonates weighing between 751 and 1000 grams at birth
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",0,79,0.00,0.00,37.92,100,critical care for neonates weighing between 751 and 1000 grams at birth
ST BERNARDINE MED CTR,0,168,0.00,0.00,17.83,100,critical care for neonates weighing between 751 and 1000 grams at birth
"ST JOHN'S REGIONAL MED CTR, OXNARD",0,115,0.00,0.00,26.05,100,critical care for neonates weighing between 751 and 1000 grams at birth
ST JOSEPH'S MED CTR OF STOCKTON,0,28,,,78.6,,critical care for neonates weighing between 751 and 1000 grams at birth
"ST JUDE MED CTR, FULLERTON",0,46,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"ST MARY MED CTR, APPLE VALLEY",0,6,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"ST MARY MED CTR, LONG BEACH",0,72,0.00,0.00,41.61,98.0,critical care for neonates weighing between 751 and 1000 grams at birth
SUTTER EAST BAY HOSPS CTR,0,543,0.00,0.00,5.52,98.6,critical care for neonates weighing between 751 and 1000 grams at birth
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
SUTTER HEALTH SACRAMENTO SIERRA REGION,3,666,4.50,0.93,13.16,99.0,critical care for neonates weighing between 751 and 1000 grams at birth
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
SUTTER WEST BAY HOSPS,0,620,0.00,0.00,4.83,100,critical care for neonates weighing between 751 and 1000 grams at birth
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"TORRANCE MEMORIAL MED CTR, TORRANCE",0,55,0.00,0.00,54.47,100,critical care for neonates weighing between 751 and 1000 grams at birth
"TRI-CITY MED CTR, OCEANSIDE",0,11,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",0,322,0.00,0.00,9.30,96.6,critical care for neonates weighing between 751 and 1000 grams at birth
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",0,321,0.00,0.00,9.33,100,critical care for neonates weighing between 751 and 1000 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",0,603,0.00,0.00,4.97,100,critical care for neonates weighing between 751 and 1000 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",0,511,0.0,0.00,5.86,94.7,critical care for neonates weighing between 751 and 1000 grams at birth
"UCSF MED CTR, SAN FRANCISCO",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",0,161,0.0,0.00,18.61,95.2,critical care for neonates weighing between 751 and 1000 grams at birth
WESTERN MED CTR SANTA ANA,1,170,5.9,0.15,32.77,86.4,critical care for neonates weighing between 751 and 1000 grams at birth
"WHITE MEMORIAL MED CTR, LOS ANGELES",0,17,,,73.3,,critical care for neonates weighing between 751 and 1000 grams at birth
STATE OF CALIFORNIA POOLED DATA,24,35097,0.68,96.2,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",0,197,0.00,0.00,15.21,ND,critical care for neonates weighing between 1001 and 1500 grams at birth
"ANTELOPE VALLEY HOSP, LANCASTER",0,78,0.00,0.00,38.41,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"ARROWHEAD RGN MED CTR, COLTON",1,279,3.58,0.09,19.97,100,critical care for neonates weighing between 1001 and 1500 grams at birth
BAKERSFIELD MEMORIAL HOSP,0,630,0.00,0.00,4.76,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"CALIFORNIA HOSP MED CTR, LOS ANGELES",0,31,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"CEDARS-SINAI MED CTR, LOS ANGELES",1,579,1.73,0.04,9.62,95.0,critical care for neonates weighing between 1001 and 1500 grams at birth
"CENTINELA HOSP MED CTR, INGLEWOOD",0,51,0.00,0.00,58.74,100,critical care for neonates weighing between 1001 and 1500 grams at birth
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,0,461,0.00,0.00,6.50,93.2,critical care for neonates weighing between 1001 and 1500 grams at birth
"CHILDREN'S HOSP AT MISSION, MISSION VIEJO",2,255,7.84,0.95,28.33,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"CHILDREN'S HOSP CENTRAL CA, MADERA",0,1186,0.00,0.00,2.53,99.2,critical care for neonates weighing between 1001 and 1500 grams at birth
CHILDRENS HOSP OF LOS ANGELES,0,1178,0.00,0.00,2.54,ND,critical care for neonates weighing between 1001 and 1500 grams at birth
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",0,866,0.00,0.00,3.46,99.5,critical care for neonates weighing between 1001 and 1500 grams at birth
"CITRUS VALLEY MED CTR, INC.",0,571,0.00,0.00,5.25,97.7,critical care for neonates weighing between 1001 and 1500 grams at birth
"CITRUS VALLEY MED CTR, IC , COVINA",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"CITRUS VALLEY MED CTR, QV, WEST COVINA",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
COMMUNITY HOSP OF SAN BERNARDINO,0,9,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",0,31,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"COMMUNITY REGIONAL MED CTR, FRESNO",0,1215,0.00,0.00,2.47,86.4,critical care for neonates weighing between 1001 and 1500 grams at birth
COUNTY OF VENTURA,0,45,,,96.6,,critical care for neonates weighing between 1001 and 1500 grams at birth
VENTURA COUNTY MED CTR,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"DAMERON HOSP, STOCKTON",0,125,0.00,0.00,23.97,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"DESERT REGIONAL MED CTR, PALM SPRINGS",0,221,0.00,0.00,13.56,100,critical care for neonates weighing between 1001 and 1500 grams at birth
DIGNITY HEALTH,0,20,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
DIGNITY HEALTH,0,194,0.00,0.00,15.44,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"MERCY HOSP, BAKERSFIELD",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"MERCY SOUTHWEST HOSP, BAKERSFIELD",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"DOCTORS MED CTR, MODESTO",0,377,0.00,0.00,7.95,90.2,critical care for neonates weighing between 1001 and 1500 grams at birth
DOWNEY REGIONAL MED CTR,0,89,0.00,0.00,33.66,97.4,critical care for neonates weighing between 1001 and 1500 grams at birth
"EARL & LORAINE MILLER CHILDREN'S HOSP, LONG BEACH",0,1340,0.00,0.00,2.24,100,critical care for neonates weighing between 1001 and 1500 grams at birth
EL CAMINO HOSP,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"EL CAMINO HOSP, MOUNTAIN VIEW",1,230,4.35,0.11,24.22,97.6,critical care for neonates weighing between 1001 and 1500 grams at birth
ENLOE MED CTR,0,5,,,ND,,critical care for neonates weighing between 1001 and 1500 grams at birth
"ENLOE MED CTR-COHASSET, CHICO",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"ENLOE MED CTR-ESPLANADE, CHICO",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"ENLOE REHABILITATION CTR, CHICO",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,0,153,0.00,0.00,19.58,90.9,critical care for neonates weighing between 1001 and 1500 grams at birth
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"GARFIELD MED CTR, MONTEREY PARK",0,104,0.00,0.00,28.81,57.1,critical care for neonates weighing between 1001 and 1500 grams at birth
GLENDALE ADVENTIST MED CTR,0,363,0.00,0.00,8.25,98.6,critical care for neonates weighing between 1001 and 1500 grams at birth
GLENDALE MEMORIAL HOSP AND HEALTH CTR,0,43,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"GOOD SAMARITAN HOSP, LOS ANGELES",0,472,0.00,0.00,6.35,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"GOOD SAMARITAN HOSP, LP",0,256,0.00,0.00,11.70,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"MISSION OAKS HOSP, LOS GATOS",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"GROSSMONT HOSP, LA MESA",0,89,0.00,0.00,33.66,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",1,286,3.50,0.09,19.48,98.8,critical care for neonates weighing between 1001 and 1500 grams at birth
"HOAG HOSPITAL, IRVINE",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",0,558,0.00,0.00,5.37,97.5,critical care for neonates weighing between 1001 and 1500 grams at birth
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,0,40,,,90.0,,critical care for neonates weighing between 1001 and 1500 grams at birth
"VALLEYCARE MEDICAL CENTER, PLEASANTON",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"HUNTINGTON MEMORIAL HOSP, PASADENA",1,531,1.88,0.05,10.49,92.4,critical care for neonates weighing between 1001 and 1500 grams at birth
"JOHN MUIR MED CTR, WALNUT CREEK",0,148,0.00,0.00,20.24,95.9,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, BALDWIN PARK",0,9,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",0,299,0.00,0.00,10.02,94.5,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, LOS ANGELES",0,427,0.00,0.00,7.02,91.8,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, PANORAMA CITY",0,453,0.00,0.00,6.61,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, RIVERSIDE",0,96,0.00,0.00,31.21,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, ROSEVILLE",0,235,0.00,0.00,12.75,74.6,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, SAN DIEGO",0,308,0.00,0.00,9.73,98.8,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, SAN FRANCISCO",1,381,2.62,0.07,14.62,100,critical care for neonates weighing between 1001 and 1500 grams at birth
KAISER FOUNDATION HOSP-SANTA CLARA,0,363,0.00,0.00,8.25,98.5,critical care for neonates weighing between 1001 and 1500 grams at birth
KAISER FOUNDATION HOSP-WALNUT CREEK,0,272,0.00,0.00,11.01,86.1,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP-WEST LA, LOS ANGELES",1,117,8.55,0.22,47.62,62.9,critical care for neonates weighing between 1001 and 1500 grams at birth
KAISER FOUNDATION HOSPS,0,122,0.00,0.00,24.56,75.0,critical care for neonates weighing between 1001 and 1500 grams at birth
KAISER FOUNDATION HOSP-ANAHEIM MEDICAL CENTER,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
KAISER FOUNDATION HOSP-LAKEVIEW MEDICAL CENTER,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
KAISER FOUNDATION HOSPS,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, IRVINE",0,18,,,80.0,,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, FONTANA",0,777,0.00,0.00,3.86,89.7,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, ONTARIO",0,31,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
KAISER FOUNDATION HOSPS,0,259,0.00,0.00,11.57,82.6,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, FREMONT",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
KAISER FOUNDATION HOSPS,0,250,0.00,0.00,11.98,100,critical care for neonates weighing between 1001 and 1500 grams at birth
